,Crack_Spread,Crack_Z_Score,Basket_Return,SPY_Return,Rolling_Beta,Beta_Hedged_Return,VLO_Hedged_Return,MPC_Hedged_Return,PSX_Hedged_Return,DINO_Hedged_Return,PBF_Hedged_Return,DK_Hedged_Return,CVI_Hedged_Return
2017-01-18,19.801201343536377,1.9487068681867292,0.00485707407946146,0.0022099249855020986,1.7655991988732453,0.0009552322954889864,0.004959650871798537,-0.0008791543098724715,0.004387526838447078,0.0005567486830481798,-0.010910968607713336,-0.00540181006091032,-0.008036189789558695
2017-01-19,19.586198568344116,1.8615525523284455,-0.011214478093806329,-0.0037043408059015404,1.7898539369011053,-0.004584249118740044,-0.004233230213238759,-0.0034473396485953543,-0.009361641902913102,-0.00380120922252916,-0.0014419161180864162,0.005909643995537138,-0.003339232983457202
2017-01-20,19.785001516342163,1.9237657974744264,0.004392698058236333,0.003674069567933369,1.8010466705603048,-0.002224472704496999,-0.003311669613701493,0.0006138647064855918,-0.0035436608319915196,-0.0037151814082215726,-0.002631086912553378,-0.009715377065293756,0.006494701400387409
2017-01-23,19.39440083503723,1.7707057785183005,-0.005564532712970061,-0.0026019679613888957,1.8583186096483526,-0.0007292472286122903,0.004675818478123128,0.004462399817305389,-0.007095712261239347,-0.016735143421885913,-0.004938035783825401,0.015482324659335727,-0.0018714767749301465
2017-01-24,19.580400466918945,1.8293169096893616,0.029111353998129443,0.006411387560840476,1.9348438704331654,0.016706320075065804,0.01273127322769301,0.01458474458495698,0.01632615031233055,0.028565760273057923,0.033058973218685714,0.0005307394228699011,0.02519432768874191
2017-01-25,18.64419913291931,1.485379127270366,0.005005495376938546,0.008655649218728856,1.8312861580604283,-0.010845475226346168,-0.0081961619593937,-0.02509271607026938,-0.0008134556787491014,-0.010862854050013675,-0.01633434106946221,-0.007095118065828257,-0.0012426687495446093
2017-01-26,18.59439921379088,1.4592196381083162,-0.014554967927640446,-0.0010453708984261567,1.8545809565112585,-0.01261624296692823,-0.01220091565567936,-0.002592900289704001,-0.0076543294850464055,-0.03518384204857555,-0.052338092522199196,-0.010996162117436687,-0.006382193449628755
2017-01-27,18.325998544692993,1.355628718029218,-0.013290101060920672,-0.0015700440557151474,1.8857882412333968,-0.010329330442434654,0.00189451134263515,-0.004187310959273358,-0.015460425256241646,-0.01682121510510292,-0.016494016987743283,-0.017344405646433247,-0.050339631639911474
2017-01-30,18.21220135688781,1.3068706938574417,-0.0021426431710789345,-0.006201905324113799,1.880413547243379,0.009519503619105491,0.02452036035954385,-0.002842170713918209,0.002415163278617639,0.025489047981753363,0.02255978924834772,8.882020558340434e-05,-0.0037033976565444097
2017-01-31,18.535201549530036,1.413471089388594,-0.016999961785561568,-8.760929609175072e-05,1.8275335960970287,-0.01683985285362348,-0.036047550739550564,-0.006250691556579662,-0.008520255125249636,-0.01408217488410906,-0.012564397016751038,-0.025888685602907812,-0.016087137577693346
2017-02-01,19.39059925079347,1.705128452038165,-0.011690044644261018,0.0003955968432414192,1.8627368711997732,-0.012426937470297047,-0.006622894391098718,-0.007817502279701138,-0.01115468542504097,-0.030261142753276467,-0.015186246672168054,-0.026356908444101244,-0.018497898303914524
2017-02-02,18.604602813720703,1.4156597160265878,0.002218509704899485,0.0006591191097098381,1.8642916897818504,0.0009897194260910223,-0.0003907275253226762,0.0027447043583744223,0.002895574779625204,0.0002509309151620309,0.001012680362158862,0.0021594948318604534,-0.010127406565907684
2017-02-03,19.015400409698486,1.551414671306901,0.0018556370579834059,0.006892797839817444,2.284094320737408,-0.013888163341934691,-0.013684710986631512,-0.008260504540700726,-0.022589680840271548,-0.006375486025088559,-0.013600137180735637,-0.004652188362342161,-0.02408548740741999
2017-02-06,18.498602390289292,1.3634968619098404,-0.003956211762408485,-0.0017878289383694845,2.341789246356017,0.00023050681978926783,-0.002114173838960373,0.008009078078902842,-0.007739044285314515,0.003925696165745072,0.012285802107506977,-0.001566118314163402,-0.004740239502188123
2017-02-07,18.57600164413452,1.3834567626069498,-0.004624962511296665,4.36177807072724e-05,1.8919747336892274,-0.004707486250334422,0.004988354240248161,-0.009177993509890072,-0.007505558849947418,-0.0057068877618227445,0.00333012689626156,-0.019560190119510934,-0.008029895661846935
2017-02-08,19.613402128219604,1.7325498824924175,0.02135122054534786,0.001310483450746247,1.8931984805647224,0.018870215267589852,0.022662772452758908,0.02236818907259937,0.0024223448643424517,0.036050769999955413,0.03915777346813234,0.013258185175275989,0.015620274759974193
2017-02-09,19.536000013351426,1.6922630212285548,0.01040754265097444,0.005932707906129542,1.9053101370310412,-0.000896105862618379,-0.002684217746013873,0.005086283008682411,-0.0018386976685123872,0.00595486594954343,-0.014601723749799182,0.008495768494846522,-0.02654273186728259
2017-02-10,19.541800737380974,1.6798453176335277,0.0013816542389089581,0.003946297369689322,1.8946698070211296,-0.006095276236968301,-0.009272519988909371,-0.003340751064324761,0.0031116997115724285,-0.011157174845809891,-0.014993506897885651,-0.01956236516414679,-0.017527446277405274
2017-02-13,19.06599760055542,1.5036115602715676,-0.0010927716452804772,0.005442379195777836,1.874133239677583,-0.011292515399017471,-0.005717698288133259,-0.0077706674641620545,-0.0055818373970178805,-0.030066019200249403,-0.015244894044098923,-0.02907194496640987,-0.026050414822775796
2017-02-14,19.10840106010437,1.5056754710332374,0.010939848899241211,0.00399530473300258,1.897462259055558,0.0033589089549427714,0.001325860503125241,0.012998622145064394,-0.003399706045869218,-0.001736443084324973,0.007876920488534164,0.00039115744238662174,0.00775910432498253
